,mode,count,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
177,1,1,0.0261,Afourteen,0.7240000000000001,310250.0,0.8909999999999999,0.0,0.273,-0.354,0.294,92.478,0.71,63.0
178,1,2,0.0206,Afro B,0.966,199000.0,0.633,4.06e-06,0.0715,-6.392,0.10099999999999999,108.01100000000001,0.767,65.0
179,1,2,0.354,Afro-Cuban All Stars,0.591,396440.0,0.49700000000000005,7.09e-06,0.136,-11.800999999999998,0.0397,136.56799999999998,0.7559999999999999,52.0
180,0,11,0.09650909099999999,Afrojack,0.710909091,280340.5455,0.829545455,0.267875291,0.281772727,-4.485181818,0.09786363599999999,124.5365455,0.499454545,50.90909091
181,1,16,0.1913625,Afroman,0.8705,307113.375,0.469125,1.6800000000000002e-05,0.1511,-8.286875,0.366,128.117375,0.673125,53.375
182,0,3,0.174,Afrosound,0.733,172266.3333,0.6859999999999999,0.058713333,0.0953,-5.840666667000001,0.042766667,97.02566667,0.886333333,25.66666667
183,1,1,0.9840000000000001,Afsal,0.441,195226.0,0.358,0.0842,0.26,-10.552,0.298,67.74,0.65,0.0
184,1,6,0.002115983,After The Burial,0.46866666700000004,284147.0,0.940666667,0.19485999999999998,0.2124,-4.894666667,0.134666667,124.542,0.169333333,50.0
185,0,2,0.214,Afu-Ra,0.8420000000000001,239413.0,0.858,5.78e-06,0.475,-3.7310000000000003,0.253,90.31200000000001,0.736,57.0
186,1,12,0.143368517,Against Me!,0.5176666670000001,190395.6667,0.779833333,0.009853617,0.23600000000000002,-5.5805,0.11365,127.79633329999999,0.46883333299999996,49.5
187,1,2,0.9940000000000001,Agatha Reilly,0.33,192353.0,0.005,0.976,0.109,-34.638000000000005,0.0499,85.06700000000001,0.0749,59.0
188,1,2,2.52e-06,Agent Steel,0.12300000000000001,183267.0,0.991,0.0058,0.23399999999999999,-2.727,0.182,191.533,0.114,34.0
189,0,2,0.00645,Agnes,0.621,256213.0,0.9229999999999999,7.28e-05,0.10800000000000001,-3.1239999999999997,0.0321,127.973,0.716,62.0
190,1,3,0.920666667,Agnes Giebel,0.281,197035.0,0.304333333,0.194333333,0.371333333,-11.72833333,0.045233333,113.67766670000002,0.276333333,0.0
191,1,4,0.9590000000000001,Agnes Obel,0.439,216570.5,0.14295,0.3801875,0.11900000000000001,-20.299,0.0363,116.8325,0.18,52.0
192,1,6,0.0053022,Agnostic Front,0.266333333,151563.0,0.959666667,0.000801567,0.267,-6.245,0.149,131.5473333,0.224333333,36.66666667
193,1,2,0.0452,Ago,0.9359999999999999,353000.0,0.564,0.0247,0.0377,-5.902,0.0471,125.99600000000001,0.9209999999999999,31.0
194,0,2,0.0026,Aguaturbia,0.272,635272.0,0.8320000000000001,0.147,0.0547,-6.896,0.0632,85.399,0.625,32.0
